_id,Year,CA,CAQF,AgeGroup,AgeGroupQF,Sex,SexQF,Diagnosis,NumberOfDeaths,NumberOfDeathsQF,CrudeRate,CrudeRateQF,EASR
1,2013,S92000003,d,0-44 years,"",Males,"",Coronary Heart Disease,86,"",5.90200070961264,"",6.248690163119208
2,2013,S92000003,d,0-44 years,"",Females,"",Coronary Heart Disease,22,"",1.50717449312694,"",1.597832826486631
3,2013,S92000003,d,45-64 years,"",Males,"",Coronary Heart Disease,868,"",121.520972167777,"",123.6376289938312
4,2013,S92000003,d,45-64 years,"",Females,"",Coronary Heart Disease,236,"",31.4790904143502,"",32.09544451972418
5,2013,S92000003,d,65-74 years,"",Males,"",Coronary Heart Disease,989,"",400.41782729805,"",413.5421732914769
6,2013,S92000003,d,65-74 years,"",Females,"",Coronary Heart Disease,429,"",155.824343467364,"",159.39062751933105
7,2013,S92000003,d,75plus years,"",Males,"",Coronary Heart Disease,2212,"",1314.51493091665,"",1448.0096858493453
8,2013,S92000003,d,75plus years,"",Females,"",Coronary Heart Disease,2397,"",935.155527639171,"",917.4438329132744
9,2013,S12000005,"",0-44 years,"",Males,"",Coronary Heart Disease,0,"",0,"",0
10,2013,S12000005,"",0-44 years,"",Females,"",Coronary Heart Disease,0,"",0,"",0
11,2013,S12000005,"",45-64 years,"",Males,"",Coronary Heart Disease,,c,,c,140.35405611939711
12,2013,S12000005,"",45-64 years,"",Females,"",Coronary Heart Disease,,c,,c,13.493152225245687
13,2013,S12000005,"",65-74 years,"",Males,"",Coronary Heart Disease,,c,,c,650.9101305632327
14,2013,S12000005,"",65-74 years,"",Females,"",Coronary Heart Disease,,c,,c,220.47405740711676
15,2013,S12000005,"",75plus years,"",Males,"",Coronary Heart Disease,,c,,c,1512.87710431765
16,2013,S12000005,"",75plus years,"",Females,"",Coronary Heart Disease,,c,,c,936.8103722719078
17,2013,S12000006,"",0-44 years,"",Males,"",Coronary Heart Disease,,c,,c,13.272067933899905
18,2013,S12000006,"",0-44 years,"",Females,"",Coronary Heart Disease,,c,,c,3.5053983134026403
19,2013,S12000006,"",45-64 years,"",Males,"",Coronary Heart Disease,,c,,c,98.73663751583206
20,2013,S12000006,"",45-64 years,"",Females,"",Coronary Heart Disease,,c,,c,55.21902297636671
21,2013,S12000006,"",65-74 years,"",Males,"",Coronary Heart Disease,,c,,c,406.12878606878553
22,2013,S12000006,"",65-74 years,"",Females,"",Coronary Heart Disease,,c,,c,173.07496913766067
23,2013,S12000006,"",75plus years,"",Males,"",Coronary Heart Disease,,c,,c,1833.883073723571
24,2013,S12000006,"",75plus years,"",Females,"",Coronary Heart Disease,,c,,c,800.6316116037025
25,2013,S12000008,"",0-44 years,"",Males,"",Coronary Heart Disease,,c,,c,3.97271313605975
26,2013,S12000008,"",0-44 years,"",Females,"",Coronary Heart Disease,,c,,c,6.4485077176146035
27,2013,S12000008,"",45-64 years,"",Males,"",Coronary Heart Disease,,c,,c,149.05971590756863
28,2013,S12000008,"",45-64 years,"",Females,"",Coronary Heart Disease,,c,,c,63.27973322588637
29,2013,S12000008,"",65-74 years,"",Males,"",Coronary Heart Disease,,c,,c,386.07133729005926
30,2013,S12000008,"",65-74 years,"",Females,"",Coronary Heart Disease,,c,,c,227.22168038674496
31,2013,S12000008,"",75plus years,"",Males,"",Coronary Heart Disease,,c,,c,1663.856874032731
32,2013,S12000008,"",75plus years,"",Females,"",Coronary Heart Disease,,c,,c,1284.5199741467177
33,2013,S12000010,"",0-44 years,"",Males,"",Coronary Heart Disease,0,"",0,"",0
34,2013,S12000010,"",0-44 years,"",Females,"",Coronary Heart Disease,0,"",0,"",0
35,2013,S12000010,"",45-64 years,"",Males,"",Coronary Heart Disease,,c,,c,67.33723619628284
36,2013,S12000010,"",45-64 years,"",Females,"",Coronary Heart Disease,,c,,c,19.68473537196248
